,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,BEDS_BATH_RATIO,SQFT_BEDS_RATIO,SQFT_BATH_RATIO,SQFT For TotalRooms,LOCATION_SIZE,Distance_to_center
195,7,689000,3,2.3738608579684373,1248.0,16,40.6137764,-74.1600305,1.2637640449438203,416.0,525.7258426966292,232.23526492120612,-3758874.782887137,24108.375871852793
196,7,649999,3,2.0,1440.0,16,40.5803331,-74.0885167,1.5,480.0,720.0,288.0,-4329412.828662114,23965.006624910267
197,7,669000,3,2.0,864.0,16,40.5993523,-74.0953882,1.5,288.0,432.0,172.8,-2599106.2007072223,22320.58149815444
198,7,800000,3,2.0,825.0,9,40.6222734,-73.924094,1.5,275.0,412.5,165.0,-2477445.924785122,17624.356016070786
201,7,390000,2,1.0,586.0,16,40.574103,-74.0931668,2.0,293.0,586.0,195.33333333333334,-1761670.575864877,24758.125477135123
203,7,1450000,4,2.3738608579684373,2700.0,16,40.5273093,-74.1753435,1.6850187265917604,675.0,1137.3876404494383,423.6051053145488,-8116543.13883726,32635.83553259958
206,0,695000,2,2.0,2184.207862,11,40.7651716,-73.9678719,1.0,1092.103931,1092.103931,546.0519655,-6586070.341093368,1311.7903523441646
208,0,459000,3,2.0,1250.0,9,40.5866482,-73.9845156,1.5,416.6666666666667,625.0,250.0,-3753479.3836307647,21159.39977133396
209,7,689999,3,2.0,1008.0,16,40.621814,-74.1406264,1.5,336.0,504.0,201.6,-3035820.5493480037,22365.91314636788
210,0,425000,3,2.0,1405.0,14,40.7381853,-73.8581248,1.5,468.3333333333333,702.5,281.0,-4227428.59348816,10450.872405878836
212,0,1525000,2,2.0,2184.207862,11,40.784623,-73.9826586,1.0,1092.103931,1092.103931,546.0519655,-6590530.162964195,1300.8246825549165
224,0,385000,1,2.0,900.0,13,40.7839299,-73.77643,0.5,900.0,450.0,300.0,-2708003.474453031,16429.432246469773
229,12,699998,3,2.0,1548.0,16,40.5953144,-74.1628286,1.5,516.0,774.0,309.6,-4660506.856218362,25834.706102919445
230,0,1088000,5,2.0,2184.207862,13,40.7186003,-73.8453488,2.5,436.8415724,1092.103931,312.0296945714286,-6567649.280026965,12422.379907250815
233,0,265000,1,1.0,700.0,13,40.7824499,-73.7765099,1.0,700.0,700.0,350.0,-2106150.773155523,16415.635690485935
235,0,999995,3,2.0,1750.0,11,40.7640501,-73.964336,1.5,583.3333333333334,875.0,350.0,-5276400.322055159,1522.1815421138228
236,0,1495000,2,2.0,1350.0,11,40.7708195,-73.9595235,1.0,675.0,675.0,337.5,-4070777.0169480867,1187.8521018140968
237,0,925000,1,1.0,1000.0,11,40.7699425,-73.9583558,1.0,1000.0,1000.0,500.0,-3015277.9133605417,1323.8441547462187
240,2,839000,3,2.0,1376.0,9,40.5905451,-73.9910402,1.5,458.6666666666667,688.0,275.2,-4132591.236226002,20763.495636353764
241,0,329000,1,1.0,820.0,13,40.7157399,-73.83672,1.0,820.0,820.0,410.0,-2465179.683003085,13209.314646859311
243,7,615000,3,2.0,2184.207862,9,40.6610456,-73.9019953,1.5,728.0692873333334,1092.103931,436.8415724,-6563396.974658941,14122.71244874542
244,2,800000,2,2.0,1257.0,11,40.7917785,-73.9406204,1.0,628.5,628.5,314.25,-3791324.947753292,3082.425192119073
245,2,430000,2,2.0,1248.0,19,40.6123868,-74.1511288,1.0,624.0,624.0,312.0,-3758294.9969538106,23738.663530183017
246,4,499000,3,2.0,1288.0,16,40.6166867,-74.1576647,1.5,429.3333333333333,644.0,257.6,-3879505.7599783316,23733.471167277843
